Gemeinde;Verwaltungskreis;Schule;Träger;Unterrichtssprache;Bildungsstufe;Schultyp;Anzahl_Schueler;Anzahl_Frauen;Anzahl_Ausl;Anzahl_Fremdspr
Lamboing;Jura Bernois;Ecole primaire Lamboing;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;5;2;3;2
Moutier;Jura Bernois;Ecoles primaires et enfantines - Collège Poste;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;26;13;14;6
Péry;Jura Bernois;Ecole enfantine et primaire Péry;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;3;0;1;0
Saint-Imier;Jura Bernois;Ecole primaire de Saint-Imier;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;36;14;13;11
Sonceboz-Sombeval;Jura Bernois;Ecole Primaire Sonceboz-Sombeval;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;7;1;2;0
Tramelan;Jura Bernois;Ecole primaire de la Printanière;Öffentliche Schule;Französisch;Primarstufe;Besondere Klassen Primarstufe;8;2;4;6
Corgémont;Jura Bernois;Ecole secondaire du Bas-Vallon;Öffentliche Schule;Französisch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;6;3;1;2
Malleray;Jura Bernois;Ecole secondaire du bas de la vallée;Öffentliche Schule;Französisch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;7;3;1;1
Saint-Imier;Jura Bernois;Ecole secondaire Saint-Imier;Öffentliche Schule;Französisch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;16;8;7;9
Corgémont;Jura Bernois;Ecole secondaire du Bas-Vallon;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;49;20;14;13
Cortébert;Jura Bernois;Ecole des Prés-de-Cortébert;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;4;1;0;1
Courtelary;Jura Bernois;Ecole de Courtelary;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;19;9;1;2
Grandval;Jura Bernois;Ecole de Grandval;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;17;8;1;0
La Ferrière;Jura Bernois;Ecole de La Ferrière/Village;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;8;3;0;3
La Neuveville;Jura Bernois;Collège du District de La Neuveville;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;42;19;18;17
Malleray;Jura Bernois;Ecole secondaire du bas de la vallée;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;46;19;14;12
Mont-Tramelan;Jura Bernois;Gesamtschule Mont-Tramelan;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;2;1;0;1
Moutier;Jura Bernois;Ecole secondaire de Moutier;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;82;37;58;51
Reconvilier;Jura Bernois;Ecole secondaire Reconvilier;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;20;8;10;7
Saicourt;Jura Bernois;Ecole secondaire de la Courtine;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;14;7;4;4
Saint-Imier;Jura Bernois;Ecole secondaire Saint-Imier;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;63;25;25;24
Schelten;Jura Bernois;Gesamtschule Schelten;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;3;1;0;0
Seehof;Jura Bernois;Schulhaus Seehof;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;3;2;0;0
Tavannes;Jura Bernois;Ecole secondaire Tavannes;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;40;14;13;16
Tramelan;Jura Bernois;Ecole secondaire Tramelan;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;39;14;10;8
Tramelan;Jura Bernois;Ecole primaire de la Printanière;Öffentliche Schule;Französisch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;5;3;5;5
Belprahon;Jura Bernois;Ecole de Belprahon;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;14;5;0;0
Bévilard;Jura Bernois;Ecole enfantine et école primaire Bévilard;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;103;57;22;14
Champoz;Jura Bernois;Ecole primaire Champoz;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;11;8;0;1
Châtelat;Jura Bernois;Ecole primaire Châtelat;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;21;13;0;9
Corcelles (BE);Jura Bernois;Ecole de Corcelles;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;20;12;0;2
Corgémont;Jura Bernois;Ecole primaire Corgémont;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;104;54;13;16
Cormoret;Jura Bernois;Ecole de Cormoret;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;43;21;1;5
Cortébert;Jura Bernois;Ecole primaire Cortébert;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;39;16;1;8
Cortébert;Jura Bernois;Ecole des Prés-de-Cortébert;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;12;4;0;5
Court;Jura Bernois;Ecole primaire de Court;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;90;44;7;10
Courtelary;Jura Bernois;Ecole de Courtelary;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;53;22;6;3
Crémines;Jura Bernois;Ecole de Crémines;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;24;10;5;2
Diesse;Jura Bernois;Ecole primaire Diesse ancien collège;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;24;9;0;1
Diesse;Jura Bernois;Ecole primaire Diesse Battoir;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;33;16;0;1
Eschert;Jura Bernois;Ecole d'Eschert;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;25;10;2;0
Grandval;Jura Bernois;Ecole de Grandval;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;17;5;4;3
La Ferrière;Jura Bernois;Ecole de La Ferrière/Village;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;46;24;0;5
La Heutte;Jura Bernois;Nouveau Collège la Heutte;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;40;19;9;13
La Neuveville;Jura Bernois;Ecole primaire et enfantine de la Neuveville;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;191;88;36;38
Lamboing;Jura Bernois;Ecole primaire Lamboing;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;14;9;0;2
Loveresse;Jura Bernois;Ecole primaire Loveresse;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;20;9;0;3
Malleray;Jura Bernois;Ecole primaire de Malleray;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;124;64;34;21
Mont-Tramelan;Jura Bernois;Gesamtschule Mont-Tramelan;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;12;4;0;4
Moutier;Jura Bernois;Ecoles primaires et enfantines - Collège Poste;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;442;223;141;67
Nods;Jura Bernois;Ecole primaire Nods;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;66;30;3;11
Orvin;Jura Bernois;Ecole primaire et enfantine Orvin;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;88;41;12;15
Perrefitte;Jura Bernois;Ecole enfantine Perrefitte;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;20;10;2;1
Péry;Jura Bernois;Ecole enfantine et primaire Péry;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;86;43;8;9
Pontenet;Jura Bernois;Ecole primaire Pontenet;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;17;5;0;0
Prêles;Jura Bernois;Ecole primaire Prêles;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;35;12;3;2
Reconvilier;Jura Bernois;Ecole primaire Reconvilier;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;147;69;22;26
Renan (BE);Jura Bernois;Ecole primaire Renan;Öffentliche Schule;Französisch;Primarstufe;Regelklasse Primarstufe;58;24;2;4
