date,group,value
Thun,Vorschulstufe,1663
Thun,Primarstufe,5637
Thun,Sekundarstufe I,2724
Seeland,Vorschulstufe,1202
Seeland,Primarstufe,4182
Seeland,Sekundarstufe I,2047
Obersimmental,Vorschulstufe,242
Obersimmental,Primarstufe,835
Obersimmental,Sekundarstufe I,571
Oberaargau,Vorschulstufe,1379
Oberaargau,Primarstufe,4486
Oberaargau,Sekundarstufe I,2238
Jura Bernois,Vorschulstufe,1106
Jura Bernois,Primarstufe,3364
Jura Bernois,Sekundarstufe I,2349
Interlaken,Vorschulstufe,660
Interlaken,Primarstufe,2508
Interlaken,Sekundarstufe I,1734
Frutigen,Vorschulstufe,702
Frutigen,Primarstufe,2169
Frutigen,Sekundarstufe I,648
Emmental,Vorschulstufe,1792
Emmental,Primarstufe,4256
Emmental,Sekundarstufe I,2269
Biel/Bienne,Vorschulstufe,1738
Biel/Bienne,Primarstufe,5322
Biel/Bienne,Sekundarstufe I,2644
Bern-Mittelland,Vorschulstufe,6801
Bern-Mittelland,Primarstufe,6341
Bern-Mittelland,Sekundarstufe I,3534
