id	rate
715	0
704	0
710	0
707	0
740	0
736	0
741	0
734	0
389	0
661	0
550	0
541	0
546	0
555	0
416	0
422	0
405	0
421	0
423	0
408	0
978	0
991	0
990	0
972	0
324	0
340	0
325	0
335	0
613	0
865	0
874	0
868	0
874	0
871	0
930	0
765	0
937	0
940	0
931	0
592	0
410	0
419	0
532	0
535	0
932	0
631	41
301	657
321	504
561	403
401	90
731	115
562	256
951	92
402	63
630	39
921	95
381	224
602	169
971	97
322	16
323	60
302	93
403	73
533	326
571	119
732	152
861	1161
681	14
351	11021
973	43
682	140
371	5772
603	238
604	41
922	119
352	660
791	125
572	218
605	126
353	409
606	56
573	346
574	52
733	404
491	52
923	155
382	61
383	393
534	56
404	1692
863	90
683	11
684	21
687	20
431	336
432	66
433	71
690	118
434	175
691	44
575	39
761	92
536	16
762	256
385	109
721	94
386	214
952	122
901	247
735	22
953	147
924	48
492	218
763	211
405	166
692	41
537	15
372	245
925	65
975	18
662	83
493	52
948	65
538	306
663	69
607	46
563	832
781	9
494	45
495	53
866	124
664	19
326	68
976	39
539	73
694	34
576	307
303	226
608	415
841	67
577	86
852	119
578	25
665	23
867	86
782	25
579	77
406	280
783	163
609	18
927	56
928	611
977	75
407	167
408	37
610	54
737	48
979	725
929	413
409	311
580	82
931	152
954	638
541	37
980	50
784	84
496	602
581	605
739	317
582	43
362	1195
540	591
738	51
304	144
564	79
565	79
305	139
869	109
870	478
411	55
611	88
412	682
872	69
873	40
354	186
355	3779
612	514
413	316
566	70
414	172
666	15
435	60
436	48
723	490
722	59
329	1809
902	1121
842	66
667	336
903	335
584	220
585	77
387	427
792	219
388	87
542	34
614	151
331	345
696	20
497	39
586	20
955	444
306	1453
415	126
332	416
697	364
587	311
543	38
307	183
390	120
785	563
333	190
615	82
699	17
437	17
544	378
742	76
700	964
668	266
875	13
876	144
545	12
546	1113
669	31
547	14
616	1330
498	79
356	1237
670	587
743	796
981	451
617	67
877	51
982	220
417	44
588	11
764	29
724	66
878	25
357	64
983	125
418	319
619	420
934	243
629	56
935	51
589	33
334	47
620	66
391	91
766	64
985	57
622	61
744	374
438	109
363	1372
701	28
439	117
392	398
440	19
936	24
702	17
745	195
725	35
309	65
310	387
703	277
567	375
336	19
441	73
767	94
879	353
590	296
337	460
338	164
339	46
442	18
904	123
623	214
905	230
420	195
880	166
956	459
987	23
881	12
853	124
393	49
843	703
746	156
706	133
443	696
591	10
549	32
906	114
786	41
708	8
747	37
624	75
311	382
748	74
855	807
341	67
988	95
312	241
709	6
883	199
907	393
938	360
499	45
444	176
445	103
711	16
712	12
768	1237
793	90
939	1603
358	267
749	388
957	588
750	102
625	37
751	387
713	437
941	362
989	82
942	3923
342	318
884	217
958	95
446	536
500	42
908	142
909	156
501	44
756	125
943	79
944	649
945	194
593	521
344	103
551	541
885	204
552	548
447	13
359	468
448	89
502	57
946	17
888	83
626	180
754	119
959	69
992	270
993	41
886	428
394	71
632	582
995	313
553	15
594	278
554	81
671	37
769	289
360	967
996	11
627	1084
755	177
345	108
424	293
960	108
628	143
556	15
361	1027
557	87
794	314
947	17
