id,rate
301,243
321,244
561,249
401,245
731,242
562,249
951,245
402,245
630,246
921,247
381,243
602,246
971,244
322,244
323,244
302,243
403,246
533,245
571,250
732,242
861,246
681,241
351,246
351,246
682,241
371,242
371,242
603,246
604,246
922,247
352,246
791,248
572,250
605,246
353,246
606,246
573,250
574,250
733,242
491,243
923,247
382,243
383,243
534,246
404,245
863,247
683,241
684,241
687,241
431,241
432,241
433,241
690,241
434,241
691,241
575,250
761,249
536,246
762,249
385,243
721,241
386,243
952,245
901,245
735,243
953,244
924,247
492,243
763,249
405,245
692,241
537,246
372,242
372,242
925,247
975,244
662,246
493,243
948,247
538,246
663,246
607,246
563,249
781,250
494,243
495,243
866,246
664,246
326,244
976,244
539,246
694,241
576,250
303,243
608,246
841,248
577,250
852,246
578,250
665,246
867,247
782,250
579,250
406,245
783,250
609,246
927,247
928,247
977,244
407,245
408,245
610,246
737,243
979,244
929,247
409,245
580,250
931,247
954,244
541,246
980,244
784,250
496,243
581,250
739,242
582,250
362,246
540,246
738,243
304,243
564,249
565,249
305,243
869,246
870,246
411,245
611,246
412,245
872,246
873,246
354,246
355,246
612,246
413,245
566,249
414,245
666,246
435,241
436,241
723,241
722,241
329,244
902,245
842,248
667,246
903,245
584,250
585,250
387,242
792,248
388,243
542,246
614,246
331,244
696,241
497,243
586,250
955,245
306,243
415,245
332,244
697,241
587,250
543,246
307,246
390,242
785,250
333,244
615,246
437,241
544,246
742,242
700,241
668,246
875,246
876,246
546,246
669,246
616,246
498,243
356,246
356,246
670,246
743,242
981,244
617,246
877,246
982,244
417,245
588,250
764,247
724,241
357,246
983,244
418,245
619,246
934,247
629,246
935,247
589,250
334,244
620,246
391,243
766,249
985,244
622,246
744,242
438,241
363,246
701,241
439,241
392,242
936,247
702,241
745,242
725,241
309,243
310,243
703,241
567,249
441,241
767,247
879,246
590,250
337,244
338,244
339,244
442,241
904,245
623,246
905,245
420,245
880,246
956,245
987,244
881,246
853,246
393,243
843,248
843,248
746,242
706,241
443,241
591,250
549,246
906,245
786,250
708,241
747,242
624,246
311,243
748,242
855,246
341,244
988,244
312,243
709,241
883,247
907,245
938,247
499,243
444,241
445,241
711,241
712,241
768,249
793,248
939,247
358,246
749,243
957,245
750,242
625,246
751,243
713,241
941,247
989,244
942,247
342,244
884,246
958,245
446,241
500,243
631,246
908,245
909,245
501,243
756,242
943,247
944,247
945,247
593,250
344,244
551,246
885,247
552,245
447,241
359,246
448,241
502,243
888,246
626,246
754,243
959,244
992,244
993,244
886,247
394,243
632,246
995,244
553,246
594,250
554,245
671,246
769,249
360,246
627,246
755,243
345,244
424,245
960,244
628,246
556,245
361,246
557,246
794,248
947,247
301,243
381,243
533,245
